,mh,width,xsec,exsec,xsec_acc,exsec_acc
91,1075.0,50.0,2.33894e-05,1.236e-07,1.72755e-05,6.1344e-08
92,1125.0,50.0,1.71324e-05,1.0769e-07,1.26908e-05,5.1062000000000004e-08
93,1175.0,50.0,1.2919800000000001e-05,7.7009e-08,9.44482e-06,3.9497e-08
94,1225.0,50.0,9.76574e-06,5.947e-08,7.09681e-06,2.8389e-08
95,1275.0,50.0,7.33232e-06,4.0055000000000004e-08,5.42063e-06,2.1315e-08
96,1325.0,50.0,5.64903e-06,3.1486e-08,4.130840000000001e-06,1.7028000000000002e-08
97,1375.0,50.0,4.324299999999999e-06,2.6914000000000002e-08,3.21143e-06,1.6264e-08
98,1425.0,50.0,3.3924699999999997e-06,2.0944000000000002e-08,2.47271e-06,1.1113e-08
99,1475.0,50.0,2.6178e-06,1.6624e-08,1.92512e-06,8.0647e-09
100,1525.0,50.0,2.10475e-06,1.519e-08,1.5039400000000002e-06,6.4703e-09
101,1575.0,50.0,1.6600499999999999e-06,1.0689e-08,1.2005099999999998e-06,5.806e-09
102,1625.0,50.0,1.27126e-06,7.1143e-09,9.449569999999999e-07,4.4756e-09
103,1675.0,50.0,1.05298e-06,6.7115e-09,7.60794e-07,3.4628e-09
104,1725.0,50.0,8.12919e-07,5.6202e-09,6.04746e-07,3.7774e-09
105,1775.0,50.0,6.74323e-07,4.9912e-09,4.83338e-07,2.43e-09
106,1825.0,50.0,5.40894e-07,3.5916000000000003e-09,3.90488e-07,1.8993e-09
107,1875.0,50.0,4.43962e-07,3.143e-09,3.1949700000000005e-07,1.6189e-09
108,1925.0,50.0,3.6026800000000003e-07,2.5647e-09,2.58586e-07,1.2019000000000002e-09
109,1975.0,50.0,3.43151e-07,2.1507e-09,2.1175100000000003e-07,1.2473e-09
110,2025.0,50.0,2.41408e-07,1.9384e-09,1.7371600000000002e-07,1.1438e-09
111,2075.0,50.0,1.9164000000000001e-07,1.5588e-09,1.4173300000000002e-07,7.582e-10
112,2125.0,50.0,1.6498700000000002e-07,1.5481e-09,1.16397e-07,7.2405e-10
113,2175.0,50.0,1.37277e-07,8.6986e-10,9.58339e-08,5.2972e-10
114,2225.0,50.0,1.1066800000000001e-07,8.5366e-10,7.894339999999999e-08,4.535e-10
115,2275.0,50.0,9.25032e-08,9.433800000000001e-10,6.62591e-08,3.9151e-10
116,2325.0,50.0,7.83753e-08,5.2137e-10,5.37567e-08,3.2662e-10
117,2375.0,50.0,6.50078e-08,5.5354e-10,4.528e-08,2.5096000000000003e-10
118,2425.0,50.0,5.2897300000000003e-08,4.0013000000000004e-10,3.7658199999999996e-08,2.2841e-10
119,2475.0,50.0,4.3822700000000005e-08,3.6426e-10,3.11704e-08,2.0105e-10
120,2525.0,50.0,3.75191e-08,3.3731e-10,2.69907e-08,1.8212e-10
121,2575.0,50.0,3.28224e-08,2.1316000000000002e-10,2.25118e-08,1.3808e-10
122,2625.0,50.0,2.73548e-08,2.8426e-10,1.91357e-08,1.282e-10
123,2675.0,50.0,2.3108200000000002e-08,1.941e-10,1.6116999999999998e-08,1.0782e-10
124,2725.0,50.0,1.77998e-08,2.0567e-10,1.3677500000000001e-08,9.145e-11
125,2775.0,50.0,1.6504600000000003e-08,1.6479e-10,1.14776e-08,7.266399999999999e-11
126,2825.0,50.0,1.2622e-08,1.1984e-10,9.63553e-09,4.9677000000000003e-11
127,2875.0,50.0,1.2130700000000002e-08,1.2533e-10,8.25776e-09,6.0144e-11
128,2925.0,50.0,1.03682e-08,7.951599999999999e-11,6.88621e-09,3.7128e-11
129,2975.0,50.0,8.76562e-09,7.5821e-11,5.9750800000000004e-09,4.5447e-11
130,3025.0,50.0,6.86068e-09,7.6002e-11,5.099e-09,2.9613e-11
131,3075.0,50.0,6.3692900000000004e-09,5.7691e-11,4.33644e-09,2.5028000000000002e-11
132,3125.0,50.0,5.32295e-09,6.0191e-11,3.7125300000000002e-09,2.2553000000000002e-11
133,3175.0,50.0,4.68918e-09,5.1428000000000006e-11,3.23259e-09,2.3084e-11
134,3225.0,50.0,4.08467e-09,3.198e-11,2.7083700000000002e-09,1.6472e-11
135,3275.0,50.0,3.19976e-09,4.2469e-11,2.34787e-09,1.3848e-11
136,3325.0,50.0,2.9965e-09,2.6528e-11,1.97871e-09,1.4451e-11
137,3375.0,50.0,2.55835e-09,4.6618000000000005e-11,1.73825e-09,1.3045e-11
138,3425.0,50.0,2.2605900000000004e-09,2.0759999999999998e-11,1.47462e-09,9.7392e-12
139,3475.0,50.0,1.62017e-09,1.9331e-11,1.27043e-09,8.3889e-12
140,3525.0,50.0,1.37921e-09,1.3047e-11,1.1186100000000001e-09,7.969900000000001e-12
141,3575.0,50.0,1.46743e-09,2.084e-11,9.3644e-10,6.4969e-12
142,3625.0,50.0,1.24677e-09,1.3551e-11,8.13655e-10,5.4517e-12
143,3675.0,50.0,1.05016e-09,1.2983e-11,7.145400000000001e-10,5.6704e-12
144,3725.0,50.0,8.21743e-10,7.0647e-12,6.12283e-10,4.2426000000000005e-12
145,3775.0,50.0,7.22414e-10,7.161000000000001e-12,5.20651e-10,3.9335000000000006e-12
146,3825.0,50.0,3.86513e-10,8.1681e-12,4.5839e-10,3.1082e-12
147,3875.0,50.0,5.27182e-10,5.7249e-12,3.95689e-10,3.3967000000000003e-12
148,3925.0,50.0,5.331469999999999e-10,7.7743e-12,3.39687e-10,2.7404000000000003e-12
149,3975.0,50.0,4.2161300000000003e-10,4.292e-12,2.95114e-10,2.3033e-12
150,4025.0,50.0,3.64823e-10,5.4801e-12,2.61954e-10,1.4981e-12
151,4075.0,50.0,3.5390600000000004e-10,3.9867e-12,2.28092e-10,1.8984e-12
152,4125.0,50.0,2.62092e-10,5.0896000000000004e-12,1.9127e-10,1.3498e-12
153,4175.0,50.0,2.4443000000000005e-10,2.4168000000000004e-12,1.65694e-10,1.3083e-12
154,4225.0,50.0,2.19769e-10,1.6786e-12,1.43917e-10,1.1878e-12
155,4275.0,50.0,1.49431e-10,2.0231999999999997e-12,1.27804e-10,1.0264000000000002e-12
156,4325.0,50.0,1.48383e-10,1.6961e-12,1.11239e-10,8.996699999999999e-13
157,4375.0,50.0,1.44757e-10,1.6479e-12,9.819920000000001e-11,9.7567e-13
158,4425.0,50.0,1.29596e-10,9.8874e-13,8.44035e-11,6.6366e-13
159,4475.0,50.0,1.14827e-10,1.3567999999999998e-12,7.31882e-11,6.1555e-13
160,4525.0,50.0,9.69351e-11,8.906600000000001e-13,6.515870000000001e-11,4.3111e-13
161,4575.0,50.0,6.672120000000001e-11,7.027e-13,5.52557e-11,4.0166e-13
162,4625.0,50.0,7.13905e-11,6.9628e-13,4.94874e-11,5.2821e-13
163,4675.0,50.0,6.43692e-11,6.359700000000001e-13,4.09346e-11,3.564e-13
164,4725.0,50.0,3.8967900000000005e-11,4.9301e-13,3.9912300000000004e-11,3.7559e-13
165,4775.0,50.0,4.4298e-11,6.996600000000001e-13,3.2907e-11,2.9252e-13
166,4825.0,50.0,3.97295e-11,5.6004e-13,2.85128e-11,2.3718999999999997e-13
167,4875.0,50.0,4.1197299999999996e-11,3.7118e-13,2.37163e-11,1.7325e-13
168,4925.0,50.0,2.71457e-11,6.1454e-13,2.1279799999999997e-11,1.853e-13
169,4975.0,50.0,2.21359e-11,2.1089000000000002e-13,1.83091e-11,1.8338e-13
170,5025.0,50.0,2.56241e-11,1.6145e-13,1.63756e-11,1.2971e-13
