m_x,xsec
2880.0,6.37621767270315
2890.0,6.2192481582040395
2900.0,6.082417945959383
2910.0,5.929487898233039
2920.0,5.814448274606379
2930.0,5.672559671999663
2940.0,5.5115817356539525
2950.0,5.405119671886882
2960.0,5.281798353606527
2970.0,5.0528701647244905
2980.0,5.009420979636737
2990.0,4.871213870313468
3000.0,4.7608321400596845
3010.0,4.64294234865295
3020.0,4.526044266772273
3030.0,4.398118381260878
3040.0,4.201932421382208
3050.0,4.164026565978586
3060.0,4.1570293644203735
3070.0,3.990828596980968
3080.0,3.8237816141326904
3090.0,3.827525810889262
3100.0,3.720162345006739
3110.0,3.631674091258721
3120.0,3.520172664083843
3130.0,3.489481955090878
3140.0,3.337853925886978
3150.0,3.2612341362077797
3160.0,3.1965651281229026
3170.0,3.1454597243103763
3180.0,3.0660791951785535
3190.0,3.0126288793460425
3200.0,2.963449724508856
3210.0,2.8710888851976533
3220.0,2.8252683812377817
3230.0,2.720624453514646
3240.0,2.671157628779536
3250.0,2.605944034703037
3260.0,2.584161530000457
3270.0,2.4570920214718224
3280.0,2.412552026744813
3290.0,2.346325575832541
3300.0,2.2752678462705576
3310.0,2.2197218397929883
3320.0,2.1963301380115996
3330.0,2.138223423953781
3340.0,2.1213111761492516
3350.0,2.0681390551854215
3360.0,2.023525451276607
3370.0,1.9485812180300208
3380.0,1.9017808010018875
3390.0,1.8609138272330257
3400.0,1.7791091252771103
3410.0,1.7371237600598743
3420.0,1.747838060075958
3430.0,1.6558470280966993
3440.0,1.650792384215953
3450.0,1.6115759811110952
3460.0,1.585717996608186
3470.0,1.5260464989885518
3480.0,1.5216849930587195
3490.0,1.4468449255579745
3500.0,1.4397672919753661
3510.0,1.39374082963404
3520.0,1.35078252048117
3530.0,1.3442334338940174
3540.0,1.3058092432150734
3550.0,1.273072951246527
3560.0,1.2439960877559442
3570.0,1.217336699644407
3580.0,1.2066849843610135
3590.0,1.1687346411962258
3600.0,1.1535199508193512
3610.0,1.1050741141294207
3620.0,1.0822881162190825
3630.0,1.0712138223207088
3640.0,1.0429065793291696
3650.0,1.0239445127246574
3660.0,0.9998449113016527
3670.0,0.9653532544034201
3680.0,0.9450323000456453
3690.0,0.9225746497232039
3700.0,0.9037290824537215
3710.0,0.8924052875785854
3720.0,0.8715288489436241
3730.0,0.8514333651885505
3740.0,0.8278313819857844
3750.0,0.8105507697670161
3760.0,0.8068627139926755
3770.0,0.7813538149714047
3780.0,0.7498419688166338
3790.0,0.7397090513911645
3800.0,0.7266091644847661
3810.0,0.709779017642662
3820.0,0.6803573631376171
3830.0,0.6799697551444923
3840.0,0.6621897320003074
3850.0,0.6458857573376438
3860.0,0.6350762473138469
3870.0,0.6246138522148288
3880.0,0.6073670744994398
3890.0,0.5995807727684097
3900.0,0.5806250727657387
3910.0,0.5659737589599444
