,xsec
1760.0,0.021876214192062395
1770.0,0.021760881096657907
1780.0,0.02130883704837248
1790.0,0.021286219120469792
1800.0,0.02082321986830759
1810.0,0.020062683410807882
1820.0,0.02039556324206796
1830.0,0.019938381684310145
1840.0,0.01964811382969531
1850.0,0.019013499771494403
1860.0,0.019284221621149806
1870.0,0.019001166887768862
1880.0,0.018465182200281892
1890.0,0.01836989685610438
1900.0,0.01789192185469379
1910.0,0.017899405367400284
1920.0,0.01765160950706942
1930.0,0.01735074435205264
1940.0,0.017618023939317284
1950.0,0.016859681990237598
1960.0,0.017057800286848137
1970.0,0.01630688130377777
1980.0,0.01643050221342759
1990.0,0.016618192473346668
2000.0,0.015903890093735502
2010.0,0.015888573135857623
2020.0,0.01566558851573637
2030.0,0.01546410107661442
2040.0,0.01520960575355976
2050.0,0.015101356666197793
2060.0,0.015010121507177832
2070.0,0.014835315254576887
2080.0,0.014392012079770766
2090.0,0.014544617508913883
2100.0,0.013792899221252073
2110.0,0.014349021791665166
2120.0,0.013929703387686657
2130.0,0.01402609282020752
2140.0,0.01363573825879545
2150.0,0.013562841903362856
2160.0,0.013359285358790728
2170.0,0.013182920297516807
2180.0,0.013050867100226024
2190.0,0.013060967189008345
2200.0,0.01275076178962822
2210.0,0.012587372077047083
2220.0,0.012590006208137619
2230.0,0.01237017135407965
2240.0,0.01219388430076677
2250.0,0.012146729152392663
2260.0,0.011893234691628542
2270.0,0.011701828036243854
2280.0,0.011789763704176157
2290.0,0.011672225039192788
2300.0,0.011622348261436932
2310.0,0.01159132216253676
2320.0,0.011275339526528474
2330.0,0.011450352502740456
2340.0,0.011035922703279692
2350.0,0.010949727342584393
2360.0,0.010905406306483146
2370.0,0.010563515463713332
2380.0,0.010679156127881418
2390.0,0.010470903970149796
2400.0,0.010418566624946031
2410.0,0.010123003206496596
2420.0,0.010217417407371782
2430.0,0.010276357109104805
2440.0,0.010072152793084864
2450.0,0.010021775380643874
2460.0,0.009844418472922752
2470.0,0.009534698835908616
2480.0,0.009881784597744667
2490.0,0.009754504377651022
2500.0,0.00960568769623707
2510.0,0.009371557735576406
2520.0,0.009484719692674058
2530.0,0.009188399524281653
2540.0,0.00930069052697135
2550.0,0.00899464284409727
2560.0,0.008998733887778549
2570.0,0.008897072554931626
2580.0,0.00878143747774873
2590.0,0.00882997951327663
2600.0,0.008694153720194804
2610.0,0.00860522103752769
2620.0,0.00866507072771005
2630.0,0.008524174330126321
2640.0,0.00843248410958358
2650.0,0.008367144096389606
2660.0,0.00837890804915341
2670.0,0.008221697974053721
2680.0,0.008076388192438859
2690.0,0.00806771344144465
2700.0,0.008020301516243389
2710.0,0.007812903641754809
2720.0,0.007973329583449503
2730.0,0.007793514416011175
2740.0,0.007665213968139498
2750.0,0.007846312225866141
2760.0,0.00759960611521333
2770.0,0.007588178239079602
2780.0,0.007458706862725912
2790.0,0.00744792180683136
2800.0,0.007444614081450531
2810.0,0.007342672961816723
2820.0,0.0072078887314068136
2830.0,0.007278764364582639
2840.0,0.0070806107694060825
2850.0,0.007273024610719289
2860.0,0.007080992296053838
2870.0,0.00705641031734214
2880.0,0.007028720434941671
2890.0,0.006915136313452924
2900.0,0.006765889006347138
2910.0,0.006850746843842182
2920.0,0.006696812586466355
2930.0,0.0065649097812929815
2940.0,0.006640228509702444
2950.0,0.00650430010777493
2960.0,0.0067262107941067715
2970.0,0.006469070384687236
2980.0,0.006459430884600448
2990.0,0.006342064681360351
3000.0,0.006388433711148434
3010.0,0.006389646116758188
3020.0,0.006177344765640863
3030.0,0.0062192983900315295
3040.0,0.006329806269061705
3050.0,0.0062729210694929954
3060.0,0.006099202038769605
3070.0,0.006073741935530193
3080.0,0.006060031348062967
3090.0,0.005992191021919715
