m,effs
870.0,0.7120898112191374
875.0,0.7125845790021352
880.0,0.7130766097320116
885.0,0.7135659329848396
890.0,0.7140525778627635
895.0,0.7145365730040427
900.0,0.7150179465928286
905.0,0.7154967263686842
910.0,0.7159729396358601
915.0,0.7164466132723266
920.0,0.7169177737385746
925.0,0.7173864470861928
930.0,0.7178526589662213
935.0,0.7183164346372988
940.0,0.7187777989736008
945.0,0.7192367764725787
950.0,0.7196933912625072
955.0,0.720147667109841
960.0,0.7205996274263939
965.0,0.7210492952763361
970.0,0.7214966933830231
975.0,0.7219418441356593
980.0,0.7223847695957941
985.0,0.7228254915036687
990.0,0.7232640312844043
995.0,0.7237004100540454
1000.0,0.7241346486254585
1005.0,0.7245667675140903
1010.0,0.7249967869435907
1015.0,0.7254247268513043
1020.0,0.7258506068936317
1025.0,0.7262744464512698
1030.0,0.7266962646343247
1035.0,0.7271160802873138
1040.0,0.7275339119940476
1045.0,0.7279497780824036
1050.0,0.7283636966289886
1055.0,0.728775685463698
1060.0,0.729185762174172
1065.0,0.7295939441101491
1070.0,0.7300002483877273
1075.0,0.7304046918935252
1080.0,0.7308072912887562
1085.0,0.7312080630132072
1090.0,0.7316070232891358
1095.0,0.7320041881250776
1100.0,0.7323995733195754
1105.0,0.7327931944648203
1110.0,0.7331850669502238
1115.0,0.7335752059659049
1120.0,0.733963626506108
1125.0,0.7343503433725447
1130.0,0.734735371177667
1135.0,0.7351187243478683
1140.0,0.7355004171266231
1145.0,0.7358804635775527
1150.0,0.7362588775874355
1155.0,0.7366356728691463
1160.0,0.7370108629645435
1165.0,0.7373844612472888
1170.0,0.7377564809256145
1175.0,0.7381269350450324
1180.0,0.738495836490987
1185.0,0.7388631979914568
1190.0,0.7392290321194999
1195.0,0.7395933512957522
1200.0,0.7399561677908726
1205.0,0.7403174937279422
1210.0,0.7406773410848113
1215.0,0.7410357216964059
1220.0,0.7413926472569843
1225.0,0.7417481293223505
1230.0,0.7421021793120257
1235.0,0.7424548085113742
1240.0,0.7428060280736943
1245.0,0.7431558490222607
1250.0,0.7435042822523323
1255.0,0.743851338533124
1260.0,0.7441970285097326
1265.0,0.7445413627050357
1270.0,0.744884351521546
1275.0,0.7452260052432371
1280.0,0.7455663340373317
1285.0,0.7459053479560556
1290.0,0.7462430569383618
1295.0,0.7465794708116191
1300.0,0.7469145992932731
1305.0,0.7472484519924731
1310.0,0.7475810384116706
1315.0,0.7479123679481896
1320.0,0.748242449895764
1325.0,0.7485712934460547
1330.0,0.7488989076901289
1335.0,0.7492253016199224
1340.0,0.7495504841296685
1345.0,0.749874464017307
1350.0,0.7501972499858613
1355.0,0.7505188506447977
1360.0,0.7508392745113563
1365.0,0.7511585300118595
1370.0,0.7514766254829981
1375.0,0.7517935691730933
1380.0,0.752109369243338
1385.0,0.752424033769016
1390.0,0.7527375707406998
1395.0,0.753049988065428
1400.0,0.7533612935678606
1405.0,0.7536714949914178
1410.0,0.7539805999993963
1415.0,0.7542886161760674
1420.0,0.7545955510277587
1425.0,0.7549014119839108
1430.0,0.7552062063981251
1435.0,0.7555099415491866
1440.0,0.7558126246420747
1445.0,0.7561142628089512
1450.0,0.7564148631101384
1455.0,0.7567144325350763
1460.0,0.7570129780032664
1465.0,0.7573105063651964
1470.0,0.7576070244032556
1475.0,0.7579025388326293
1480.0,0.7581970563021816
1485.0,0.7584905833953237
1490.0,0.7587831266308673
1495.0,0.759074692463864
1500.0,0.7593652872864332
1505.0,0.759654917428572
1510.0,0.7599435891589579
1515.0,0.7602313086857349
1520.0,0.7605180821572883
1525.0,0.760803915663006
1530.0,0.7610888152340292
1535.0,0.7613727868439915
1540.0,0.761655836409743
1545.0,0.7619379697920694
1550.0,0.7622191927963917
1555.0,0.7624995111734623
1560.0,0.7627789306200454
1565.0,0.7630574567795896
1570.0,0.7633350952428888
1575.0,0.7636118515487329
1580.0,0.7638877311845502
1585.0,0.7641627395870358
1590.0,0.7644368821427765
1595.0,0.7647101641888594
1600.0,0.764982591013478
1605.0,0.7652541678565234
1610.0,0.7655248999101696
1615.0,0.7657947923194506
