m_x,gtot
3020.0,1.0172556498975969
3030.0,1.0172563232059493
3040.0,1.0172569702775174
3050.0,1.0172575915390276
3060.0,1.0172581874095334
3070.0,1.0172587583005739
3080.0,1.0172593046163307
3090.0,1.0172598267537776
3100.0,1.0172603251028318
3110.0,1.0172608000464962
3120.0,1.0172612519610016
3130.0,1.0172616812159458
3140.0,1.017262088174425
3150.0,1.017262473193171
3160.0,1.0172628366226728
3170.0,1.0172631788073099
3180.0,1.0172635000854695
3190.0,1.017263800789667
3200.0,1.0172640812466667
3210.0,1.0172643417775924
3220.0,1.017264582698041
3230.0,1.0172648043181907
3240.0,1.017265006942911
3250.0,1.0172651908718635
3260.0,1.0172653563996044
3270.0,1.0172655038156875
3280.0,1.017265633404759
3290.0,1.0172657454466518
3300.0,1.017265840216482
3310.0,1.017265917984739
3320.0,1.0172659790173726
3330.0,1.0172660235758832
3340.0,1.0172660519174057
3350.0,1.0172660642947917
3360.0,1.0172660609566946
3370.0,1.017266042147645
3380.0,1.0172660081081324
3390.0,1.0172659590746806
3400.0,1.017265895279921
3410.0,1.0172658169526674
3420.0,1.0172657243179868
3430.0,1.017265617597271
3440.0,1.017265497008301
3450.0,1.01726536276532
3460.0,1.0172652150790953
3470.0,1.0172650541569812
3480.0,1.0172648802029858
3490.0,1.0172646934178318
3500.0,1.0172644939990128
3510.0,1.0172642821408573
3520.0,1.0172640580345846
3530.0,1.0172638218683616
3540.0,1.0172635738273559
3550.0,1.0172633140937941
3560.0,1.0172630428470129
3570.0,1.0172627602635105
3580.0,1.0172624665169976
3590.0,1.0172621617784503
3600.0,1.0172618462161547
3610.0,1.0172615199957584
3620.0,1.0172611832803158
3630.0,1.017260836230334
3640.0,1.0172604790038167
3650.0,1.0172601117563134
3660.0,1.0172597346409555
3670.0,1.0172593478085044
3680.0,1.0172589514073913
3690.0,1.017258545583756
3700.0,1.01725813048149
3710.0,1.017257706242273
3720.0,1.0172572730056133
3730.0,1.0172568309088847
3740.0,1.0172563800873609
3750.0,1.0172559206742566
3760.0,1.017255452800759
3770.0,1.0172549765960635
3780.0,1.017254492187408
3790.0,1.017253999700108
3800.0,1.017253499257585
3810.0,1.0172529909814032
3820.0,1.017252474991298
3830.0,1.0172519514052079
3840.0,1.017251420339307
3850.0,1.0172508819080293
3860.0,1.017250336224103
3870.0,1.0172497833985779
3880.0,1.0172492235408506
3890.0,1.0172486567586967
3900.0,1.0172480831582928
3910.0,1.0172475028442471
3920.0,1.017246915919624
3930.0,1.0172463224859682
3940.0,1.017245722643332
3950.0,1.017245116490297
3960.0,1.0172445041240028
3970.0,1.0172438856401655
3980.0,1.0172432611331044
3990.0,1.0172426306957625
4000.0,1.017241994419731
4010.0,1.0172413523952704
4020.0,1.0172407047113312
4030.0,1.017240051455576
4040.0,1.0172393927143994
4050.0,1.0172387285729505
4060.0,1.0172380591151504
4070.0,1.0172373844237126
4080.0,1.017236704580163
4090.0,1.0172360196648589
4100.0,1.0172353297570056
4110.0,1.0172346349346781
4120.0,1.0172339352748359
4130.0,1.0172332308533418
4140.0,1.0172325217449802
4150.0,1.0172318080234728
4160.0,1.0172310897614951
4170.0,1.0172303670306935
4180.0,1.0172296399017022
4190.0,1.0172289084441564
4200.0,1.017228172726712
4210.0,1.0172274328170565
4220.0,1.0172266887819255
4230.0,1.0172259406871202
4240.0,1.017225188597517
4250.0,1.0172244325770858
4260.0,1.0172236726889026
4270.0,1.0172229089951619
4280.0,1.0172221415571923
4290.0,1.0172213704354691
4300.0,1.0172205956896263
4310.0,1.0172198173784708
4320.0,1.0172190355599944
4330.0,1.0172182502913854
4340.0,1.0172174616290435
4350.0,1.017216669628588
4360.0,1.0172158743448712
4370.0,1.0172150758319929
4380.0,1.0172142741433055
4390.0,1.0172134693314305
4400.0,1.0172126614482686
4410.0,1.0172118505450072
4420.0,1.0172110366721354
4430.0,1.0172102198794517
4440.0,1.0172094002160748
4450.0,1.0172085777304534
4460.0,1.0172077524703782
4470.0,1.0172069244829884
4480.0,1.0172060938147836
4490.0,1.0172052605116333
4500.0,1.0172044246187844
4510.0,1.0172035861808713
4520.0,1.0172027452419263
4530.0,1.017201901845385
4540.0,1.0172010560341
4550.0,1.0172002078503433
4560.0,1.01719935733582
4570.0,1.0171985045316743
4580.0,1.0171976494784967
4590.0,1.017196792216334
4600.0,1.017195932784697
4610.0,1.0171950712225668
